wrapped_2025_rank,song_title,artist,streams_2025_billions,primary_genre,bpm,duration_seconds,release_year,artist_country,explicit,danceability,energy,valence,acousticness,peak_global_chart_position,dataset_part
32,I Can Do It With A Broken Heart,Taylor Swift,0.76,Synth-Pop,164,213,2024,USA,False,0.64,0.74,0.68,0.04,1,Spotify Wrapped 2025 Top 50 Global Songs
33,luther,Kendrick Lamar & SZA,0.74,Hip-Hop/R&B,76,242,2024,USA,False,0.56,0.42,0.48,0.32,1,Spotify Wrapped 2025 Top 50 Global Songs
34,WILDFLOWER,Billie Eilish,0.73,Indie Pop,90,189,2024,USA,False,0.6,0.42,0.5,0.42,3,Spotify Wrapped 2025 Top 50 Global Songs
35,Pink Pony Club,Chappell Roan,0.72,Synth-Pop,130,251,2021,USA,False,0.72,0.8,0.62,0.06,4,Spotify Wrapped 2025 Top 50 Global Songs
36,Femininomenon,Chappell Roan,0.71,Synth-Pop,116,224,2023,USA,False,0.7,0.78,0.68,0.04,5,Spotify Wrapped 2025 Top 50 Global Songs
37,End Of Beginning,Djo,0.7,Indie Rock,139,196,2022,USA,False,0.52,0.64,0.44,0.1,3,Spotify Wrapped 2025 Top 50 Global Songs
38,Like That,Kendrick Lamar,0.69,Hip-Hop,100,285,2024,USA,True,0.7,0.68,0.42,0.06,2,Spotify Wrapped 2025 Top 50 Global Songs
39,we can't be friends,Ariana Grande,0.68,R&B/Pop,72,218,2024,USA,False,0.48,0.4,0.28,0.5,1,Spotify Wrapped 2025 Top 50 Global Songs
40,Vampire,Olivia Rodrigo,0.67,Pop Rock,91,218,2023,USA,False,0.52,0.58,0.44,0.08,1,Spotify Wrapped 2025 Top 50 Global Songs
41,Stumblin' In,Cyril & Violet Skies,0.66,Pop,90,184,2023,Netherlands,False,0.66,0.54,0.76,0.22,3,Spotify Wrapped 2025 Top 50 Global Songs
42,Yellow,Coldplay,0.64,Alternative,88,269,2000,UK,False,0.46,0.54,0.36,0.14,4,Spotify Wrapped 2025 Top 50 Global Songs
43,Pretty Girl,Clairo,0.63,Indie Pop,97,164,2017,USA,False,0.7,0.52,0.68,0.28,22,Spotify Wrapped 2025 Top 50 Global Songs
44,Running Up That Hill,Kate Bush,0.62,Art Pop,112,301,1985,UK,False,0.41,0.68,0.25,0.08,3,Spotify Wrapped 2025 Top 50 Global Songs
45,good 4 u,Olivia Rodrigo,0.61,Pop Punk,166,178,2021,USA,False,0.56,0.9,0.65,0.0,1,Spotify Wrapped 2025 Top 50 Global Songs
46,Shake It Off,Taylor Swift,0.6,Pop,160,219,2014,USA,False,0.65,0.8,0.94,0.06,1,Spotify Wrapped 2025 Top 50 Global Songs
47,Espresso (Remix),Sabrina Carpenter & Jimin,0.59,Pop/K-Pop,104,178,2024,USA/S.Korea,False,0.82,0.74,0.92,0.05,2,Spotify Wrapped 2025 Top 50 Global Songs
48,That's So True,Gracie Abrams,0.58,Indie Pop,97,185,2024,USA,False,0.64,0.55,0.66,0.22,1,Spotify Wrapped 2025 Top 50 Global Songs
49,Bodyguard,Beyoncé,0.57,Country,90,218,2024,USA,False,0.6,0.56,0.66,0.38,4,Spotify Wrapped 2025 Top 50 Global Songs
50,Azizam,Ed Sheeran,0.56,Pop/Folk,88,196,2023,UK,False,0.7,0.52,0.72,0.32,3,Spotify Wrapped 2025 Top 50 Global Songs
