wrapped_2025_rank,artist_name,monthly_listeners_millions_mar2026,primary_genre,country,followers_millions,grammy_wins,debut_year,gender,top_2025_song,dataset_part
28,Shaboozey,48.5,Country/Hip-Hop,USA,28,0,2022,Male,A Bar Song,Spotify Wrapped 2025 Top 50 Artists
29,Coldplay,47.8,Alt Rock,UK,65,7,1997,Group,feelslikeimfallinginlove,Spotify Wrapped 2025 Top 50 Artists
30,Justin Bieber,46.5,Pop,Canada,96,2,2009,Male,Peaches,Spotify Wrapped 2025 Top 50 Artists
31,Peso Pluma,45.8,Regional Mexican,Mexico,30,0,2020,Male,La Durango,Spotify Wrapped 2025 Top 50 Artists
32,Lana Del Rey,44.6,Indie Pop,USA,48,0,2010,Female,Did you know that there's a tunnel,Spotify Wrapped 2025 Top 50 Artists
33,Gracie Abrams,43.7,Indie Pop,USA,25,0,2020,Female,That's So True,Spotify Wrapped 2025 Top 50 Artists
34,Tate McRae,42.9,Pop,Canada,28,0,2020,Female,Exes,Spotify Wrapped 2025 Top 50 Artists
35,Hozier,42.1,Indie Folk,Ireland,30,0,2014,Male,Too Sweet,Spotify Wrapped 2025 Top 50 Artists
36,Benson Boone,41.4,Pop Rock,USA,22,0,2022,Male,Beautiful Things,Spotify Wrapped 2025 Top 50 Artists
37,Teddy Swims,40.8,R&B/Soul,USA,18,0,2020,Male,Lose Control,Spotify Wrapped 2025 Top 50 Artists
38,Noah Kahan,39.9,Indie Folk,USA,20,0,2019,Male,Stick Season,Spotify Wrapped 2025 Top 50 Artists
39,Djo,38.7,Indie Rock,USA,15,0,2019,Male,End Of Beginning,Spotify Wrapped 2025 Top 50 Artists
40,Jimin (BTS),37.8,K-Pop/Pop,South Korea,22,0,2013,Male,Who,Spotify Wrapped 2025 Top 50 Artists
41,Laufey,36.9,Jazz/Indie Pop,Iceland,18,1,2020,Female,From The Start,Spotify Wrapped 2025 Top 50 Artists
42,Jack Harlow,35.8,Hip-Hop,USA,24,0,2018,Male,Lovin On Me,Spotify Wrapped 2025 Top 50 Artists
43,Rema,34.7,Afrobeats,Nigeria,20,0,2019,Male,Calm Down,Spotify Wrapped 2025 Top 50 Artists
44,NewJeans,33.8,K-Pop,South Korea,18,0,2022,Group,Super Shy,Spotify Wrapped 2025 Top 50 Artists
45,Kali Uchis,32.9,R&B/Latin,Colombia/USA,15,0,2012,Female,Muñequita,Spotify Wrapped 2025 Top 50 Artists
46,Tommy Richman,31.8,R&B/Pop,USA,12,0,2022,Male,Million Dollar Baby,Spotify Wrapped 2025 Top 50 Artists
47,Chayanne,29.8,Latin Pop,Puerto Rico,12,0,1984,Male,Boom,Spotify Wrapped 2025 Top 50 Artists
48,Zach Bryan,28.7,Country/Folk,USA,22,0,2020,Male,Pink Skies,Spotify Wrapped 2025 Top 50 Artists
49,Laufey,27.9,Jazz/Indie Pop,Iceland,18,1,2020,Female,Valentine,Spotify Wrapped 2025 Top 50 Artists
50,Ice Spice,27.6,Hip-Hop,USA,14,0,2021,Female,Think U the Best,Spotify Wrapped 2025 Top 50 Artists
